  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
       Woda                  Posiłek            Szatkować           Olimp
       Silnik                Tłuszcz               Kroić            Bogini


       ćęimaP               dooH niboR          ćawyłpyW            akźuB
        ćisorP                azcraT            ćawomaT              kanZ
       atukoP                 ałazrtS              soN               tórkS
         aniW                 azsuK              acintęT           hceimśU
       ahcurkS                 iktoL              anaR             akrómoK

   EINEZCABEZRP           OWTCINZCUŁ            KOTOWRK           NOKITOME


     KOKARDA               TERRARIUM             PAPIRUS           CIEPŁO

       Wstążka                Pająk               Kartka           Słońce
       Wiązać                 Ziemia               Egipt         Temperatura
       Materiał             Jaszczurka            Dawny              Lato
         Pas                Akwarium              Pismo            Wysoka
        Włosy                 Lampa                 Nil             Zimno


        weipS            enozcondejZ ynatS       akmarB              hcartS
       aidoleM              einelowzoP           kinawyD             awabO
         ćarG                 acinarG             awarT              rorroH
        mtyR                 ejcakaW              ynoleiZ         eineżarezrP
         ytuN                tropzsaP             oksioB              mliF

      AKYZUM                  AZIW              AWARUM               KĘL


      TANDEM                 ZOMBIE             KOLONIE          KOMENTATOR

     Pedałować                 Żywy              Wyjazd              Mecz
       Rower                   Trup              Opiekun           Telewizja
       Razem                   Grób              Wakacje             Sport
        Koła                Cranberries           Lato              Relacja
       Dwoje                   Gnić               Obóz              Mówić


         liforP                 ałgI             einelokoP         iknoeN
        ałokzS                 atyłP                dóR          okzcO eiwaP
       tenretnI                 xiM               atabreH           aipułG
ywoicśonzcełopS latroP       nofomarG            nimźdeiW         muirawkA
        aicęjdZ                lyniW         ikswokpaS jezrdnA       abyR

   ASALK-AZSAN              RETPADA               AGAS              KIPUG
     GĘSTY               TONIC          WIECZÓR PANIEŃSKI         PŁASKI

      Sos                Gorycz               Striptiz             Równy
     Rzadki                Gin              Narzeczona              Biust
     Włosy                Biały              Impreza              Górzysty
       Las               Chinina               Ślub                Cienki
    Treściwy              Drink              Wolność              Wypukły


     ajcruT              anipuŁ                atenalP         drofwarC ydniC
     ecńołS              ynoleiZ              arefsoeG         eornoM nyliraM
     apsyW                ydoL                awtsraW              arókS
    lossmaiL             enoloS           aksmeiZ apurokS          ecńołS
   akzceicyW             hcezrO          icśołgąiceiN yfertS      ywoząrB

     RPYC               EJCATSIP            AREFSOTIL           KYZRPEIP


  GROBOWIEC              SAPAĆ                KELNER              IRONIA

    Trumna               Wysiłek            Restauracja         Nabijać Się
    Piramida              Łóżko              Obsługa               Kpina
     Śmierć              Oddech              Napiwek             Sarkazm
     Zwłoki                Noc                 Taca               Drwina
    Pogrzeb              Biegać                Menu             Rzeczownik


    ćahcyddO             ezroM                  afuL              surtyC
      zrawT              arahaS                 ałaiB             ynoleiZ
     ćabułD             akzcinoD              ćalezrtS            ikzroG
      rataK               ażalP                anlaP               ytłóŻ
       ćeiM             ainytsuP               aklaW               cowO

      SON                KESAIP                ŃORB             TURFJERG


  POSŁANIEC               MIŁY                  KGB              DOLARY

   Wiadomość            Koleżeński           Komunizm              Zieleń
    Przynosić            Uczynny         Związek Radziecki        Pieniądz
   Informacja            Życzliwy         Służby Specjalne          Euro
   Dostarczać          Sympatyczny            Wywiad               Waluta
  Przekazywać           Uprzejmy               Rosja                Usa


       tariP                eloP             revuocnaV           einawodąL
ikęrocyżoN drawdE         zrecraH              tropS               ajcnarF
        mliF               taiwK               ladeM                kęiwźD
       rotkA            ałaib-otłóZ           ydowaZ              cśokbyzS
    anzyzcżęM            ńeimurtS              ataL 4              tolomaS

 PPED YNNHOJ           AKTORKOTS        EIKSJIPMILO AKSYZRGI    EDROCNOC


   SKAKANKA         OWOCE KANDYZOWANE     GORZKIE ŻALE           FAJRANT

     Kręcić                Słoik              Czesiu             Przerwa
      Ręce                Słodki              Kościól             Koniec
    Zabawka               Wiśnia            Zawodzenie            Wolne
      Lina                Cukier              Słodki             Weekend
     Sznur                Drinki           Nabożeństwo            Praca


      akduB             eineimorP           einezredU            ainomereC
     nagartS             ćiceiwŚ               ksyłB              ynanzeiN
     oksiotS            anzinelapO            tomzrG              yzswreiP
       graT                otaL                azruB                abórP
   ćawadezrpS             obeiN             aciwaksyłB            ketązcoP

     MARK                ECŃOŁS              NUROIP             AJCAJCINI
SZCZEPIONKA       IVAN GROŹNY       PONCZO          MYDEŁKO FA

   Bakteria         Moskwa           Indianie          Siabada
   Zastrzyk         Inflanty          Wełna            Myć Się
     Igła             Car             Głowa           Disco Polo
  Antidotum          Rosja             Koc            Piosenka
 Przeciwciało       Xvi Wiek          Rękaw             Kąpiel


  ywaluK            tnarawG           bulŚ       ikswokinzceiM jeicaM
  azetorP            tyderK          eleseW              icśO
   akelaK            awomU          awabaZ       onyzcweizD junibmoK
   ćakytU           akzcyżoP         eicśoG             łópseZ
 anainwerD          ezdąineiP      adołM araP            abyR

AGONRETUK           TNARYŻ         YNIPEZCO            ZCZSEL


   FINAŁ        LANCE ARMSTRONG    DIETA CUD           REPETA

    Koniec         Amerykanin       Slim Fast         Jedzenie
     Meta          Rekordzista      Kilogramy        Dodatkowa
     Mecz           Kolarstwo        Kalorie          Powtórka
 Mistrzostwa        Discovery        Grubas            Porcja
  Zakończyć       Tour De France   Odchudzanie        Dokładka


   arahaS             eldeisO         ajseS           akwabaZ
   ohcuS            ynzcinhceT      ainlezcU           okceizD
    łapU           ywodalokezC     muiwkoloK           ezreiwZ
    iboG            ywoknusyR          kaŻ            ęiS ćajuB
   kesaiP            kenyduB       ailanewuJ           aluzsrU

 AINYTSUP             KOLB          TNEDUTS      HCANUGEUB AN KINOK


   START            SPACER         BLONDYNKA         PING-PONG

    Bieg              Wózek          Dowcipy            Piłka
  Początek           Po Lesie       Nielegalna           Stół
    Meta               Buty         Brunetka           Rakietka
  Zawody             Chodzić          Głupia            Tenis
  Wystrzał           Za Rękę          Włosy            Odbijać


   kezsileiK          rówtO            ałgI           lemagraG
 owtsretarB            onkO            saL           ynzcezrgeiN
     akdóW          dóhcomaS        aknoaraF           okceizD
    lohoklA            otuA          ceipoK          akaibarzoR
 ęiS ćawołaC           tifuS          dawO              siwrU

TFAZSREDURB       HCADREBYZS       OKSIWORM           ŃOPCIN


DESZCZÓWKA             JEŻ           BŁOTO             PODAŻ

    Pitna            Kłujący        Zmieszać            Towar
  Podwórko            Jabłko          Brud               Cena
    Śnieg              Kolce         Woda               Popyt
    Woda             Tuptać          Mokro         Zapotrzebowanie
    Opad             Zwierzę         Bagno              Rynek


   poh-piH            iceizD       akwózaksW             notyP
   telotsiP           pelkS          ękęR aN             dórgO
  raimzoR           margorP           ecńołS         leicisuD aoB
      44            ajziweleT         repotS             ailbiB
  ajcinumA          aknarbU            sazC              cowO

  REBILAK            51.01.5         RAGEZ              ŻĄW
     KLUB                GRAD           NAWIGACJA SAMOCHODOWA       SMYK

   Impreza                Woda                  Cel                Berbeć
    Nocny                 Zima                 Mapa                Ubrania
   Piłkarski             Pogoda                Trasa                Mały
      Bar                  Lód               Lokalizacja            Dzieci
    Taniec                Śnieg                 Gps                 Sklep


     anaicŚ              akuaN                 ainjatS           einezcezrO
   ajcarokeD              dółG                anyzcńoK            eineizęiW
    onwerD              cśordąM                  ńoK                 dąS
     ywtsiL           anhcezswoP                agoN               ynazakS
   anizdałkO        eiwtsńezcełopS O          awokdoP           owtspętsezrP

  AIREZAOB              AZDEIW                OTYPOK               KORYW


 MAJERANEK             PIERZYNA                BASEN              PRZELEW

  Grochówka              Łóżko                 Czepek            Internetowy
   Oregano               Gruba                 Pływać             Pieniądze
   Kiełbasa              Kołdra          Kostium Kąpielowy          Konto
  Przyprawa             Przykryć              Ratownik             Bankowy
     Ziele                Spać                  Chlor             Przesyłać


      agaS          ikzdumreB tąkjórT         retsinaK             awabaZ
   yripmaW              acinmejaT              caelW                ceinaT
 ćśołiM akleiW            ćakinZ              anyzneB                 jD
   ćizdohcaZ             kytnaltA             kinroibZ             azerpmI
     ecńołS              ecsjeiM               owilaP              lohoklA

  HCZREIMZ         IKZDUMREB TĄKJÓRT            KAB             AKETOKSYD


   BUDZIK              LEKSYKON                SOWA             ZAUROCZENIE

    Zegarek              Hasło                  Hey                Randka
   Komórka            Denis Diderot           Mądrośc             Kochanie
     Rano               Książka            Kubuś Puchatek         Zachwyt
   Nastawiać            Słownik                Pióra             Fascynacja
    Godzina           Encyklopedia              Ptak               Fatalne


     akutzS              gicśyW               awomZ               skelK naP
    ajceneW            owtsraloK               kenyR                 latS
ripskezS mailliW          żyraP           owtsroibęisdezrP        anzcydeM
    aidegarT        gnortsmrA ecnaL             cepO               tnedutS
   anomedseD          alffiE ażeiW         ywokytokraN          hcynkęiP kutzS

   OLLETO          ECNARF ED RUOT             LETRAK             AIMEDAKA


   SREBRO            HOKUS POKUS              KWIAT              ONANIZM

     Złoto               Magia                Doniczka           Masturbacja
     Talar               Mówić                 Zapach               Ręka
     Szary            Abrakadabra              Bukiet               Walic
   Biżuteria            Zaklęcie              Kalafior           Samogwałt
  Szlachetny             Czary                  Róża                Penis


    jeizdołZ             oboL                  sedeS              noelopaN
     enrazC              cowO                 annaroP              anjoW
     akpazC             eiksjaR                  cW                ćalatsU
     dapaN             enowrezC               akzcułpS          ćawydiwezrP
     awołG             aktolrazS               reipaP               nalP

AKRAINIMOK              OKŁBAJ               ATELAOT             AIGETARTS
     ŚWINKA               KLEKS               BÓL               NAZWA

    Choroba               Pióro             Cierpienie           Nadać
   Wietnamska            Papier             Zmęczenie           Własna
   Skarbonka            Akademia              Głowy              Firma
     Morska                Pan               Uczucie             Miano
     Koryto             Atrament             Tabletka          Określenie


      ezromoP            ainiwŚ             ajziweleT        ynnehcuK toboR
eineibeindoP enrazC     aniwołoW               oniK             reskaleM
   iksloP noigeR          teltoK              agarP                 jD
  eikslohcuT yroB          ćśeJ             ajcawołS              atyłP
    anyzreicśoK           osęiM              ćadąlgO             ćazseiM

    YBUZSAK           AKZCIWDĘLOP         MLIF IKSEZC           RESKIM


    OŚCIEŻE                RAK              RED BULL           TRENING

      Okno                Zodiak             Dodawać         Przygotowanie
     Futryna           Chodzić W Tył         Skrzydła           Kondycja
      Drzwi                Krab         Sporty Ekstremalne       Wysiłek
   Obramówka              Woda          Napój Energetyczny        Sport
    Wejście              Szczypce          Pobudzenie            Szkolić


      cąisyT               layoR              żyzrK              ubaT
icśogułD aktsondeJ         noteŻ             tyzczS              reiaP
      anoleiZ             reipurK          akzcanipsW            rekoP
      aksroM              akteluR             aróG                miS
     naitsabeS           anargyW              yrtaT             snajsaP

      ALIM               ONYSAK             TNOWEIG             YTRAK


    INTERNAT            WULKAN              PIRANIA           MAŁŻONEK

     Mieszkać            Stożek               Pływa              Wesele
     Student              Lawa            Słodkowodna             Żona
     Stancja             Erupcja              Ryba                Ślub
      Bursa              Energii              Mięso             Obrączka
      Szkoła              Krater            Drapieżna          Narzeczony


     ćajiwaZ             ćawotraŻ            akdłoS                tsiL
      ysołW                ławaK              anaiP               rfyzS
      ćicęrK              jazcybO            oktsaiC           ćśomodaiW
      ćazrG              ńeiceiwK            okłaiB             eineizęiW
      ikłaW                sukisP            ahcurK              ynazakS

    AKWÓKOL           SILIRPA AMIRP           AZEB              SPYRG


 KOSMOPOLITA           MALOWANIE             POPYT            SŁUCHAWKI

    Globalizm             Paleta         Zapotrzebowanie        Głowa
    Patriotyzm             Farby            Ekonomia            Stereo
     Jedność               Obraz           Konsument            Zmysł
     Obywatel             Pędzel              Kupić              Uszy
      Świat               Picasso             Podaż             Muzyka


      dóhcsW               taiwK         kizuG intatsO aN       kenubaR
      ecńołS              napiluT            yndałkoD           jeizdołZ
     ćawatsW             memeżD Z              repaS           einamałW
       kenaR          ketrawzC ytsułT         tnadeP            ćibargO
        tiwŚ             ćatiwkzoR          teZ oD A dO      ceiwoknozseiK

     KSAZRB              KEZCĄP         ATSINOJCKEFREP         ŻEIZDARK
     PLAYBOY               BIAŁY MIŚ             KIR              CUKIEREK

      Magazyn                Piosenka          Wstążka              Słodki
      Erotyka                Pluszowy          Czarny              Paiperek
     Rozbierać            Dla Dziewczyny       Matriał            Czekoada
      Króliczki                Kolor            Strój             Landrynka
  Gazeta Dla Panów          Disco Polo         Żałoba                Ssać


     owtsmotoP              afortsataK        kenoicśreiP      awoknyR arutkurtS
      awatsyW             ynzcetatsO dąS       ynowrezC          awozsnalP arG
         asaR                adałgaZ           airetużiB          senziboruE
    ęiS ćizdowyW            zradnelaK           ńeimaK              lohoklA
         seiP                aidegarT          roziweleT             pelkS

     DÓWODOR             ATAIWŚ CEINOK          NIBUR             LOPONOM


    PAZNOKIEĆ               MANEWR             SLALOM              PINEZKA

       Pazur                Parkować            Gigant              Gwóźdź
       Palec                Strategia            Sport             Przypinać
       Lakier               Zagrywka            Omijać              Szpilka
      Obcinacz              Ominięcie            Góra                Korek
        Tips                  Ruch              Narty               Tablica


      ćeizdeiS               ikniborD           ćśązrP               apuZ
    hcanugeiB aN            eickonzaP            lytoM               kiołS
      yndogyW               ecązczsyłB          anołsO           enozczsęgaZ
       ołsezrK              enzcilateM          awraL            yworodimoP
       ynajuB              ewoksalbdO         knibawdeJ           ćicśupzoR

       LETOF                TAKORB             NOKOK             TARNECNOK


       KUSZA            SŁOMIANY WDOWIEC        STRES            PANTOGRAF

    Wilhelm Tell              Żona             Egzamin         Zasilanie Pociągu
        Bełt                  Siano         Zdenerwowanie      Pojazd Szynowy
     Polowanie               Wyjazd            Napięcie              Dach
      Strzelać                 Mąż              Wyniki               Prąd
      Cięciwa               Delegacja          Nerwowy             Tramwaj


        arutaN                 yzcO           anyrecilG             oktsaiC
      eineżęrpdO             ruzczsaJ          ćażliwaN              enołS
      kenyzcopdO            einezrjopS        ćaworamS             eikpurhC
         aglU                 ortsuL            einołD             ikzsulaP
aicęipaN einawodałzoR        adnegeL             zórM               agupaP

      SKALER              KEZSILYZAB        KĄR OD MERK           SREKARK


       KUSY                  PUSZKA              LOT             KOLARSTWO

       Wąski                 Butelka           Samolot              Wyścig
       Diabeł                Pandory          Powietrze              Rower
       Ciasny               Aluminium         W Kosmos          Lance Armstrong
       Krótki                 Farby              Ptak                Opona
       Skąpy                   Piwo            Skrzydła             Peleton


        asaR                sageV saL         cśonwepeiN            leigęW
         toK                 onysaK              onisaC            airetużiB
      ytsyzsuP                rekoP            sageV saL             ałakS
        ortuF                akteluR       owtsńezceipzebeiN         roloK
        yżuD                 ydałkaZ         ćawomjedoP             ńeimaK

      NUKŃAM            AWODRAZAH ARG          OKYZYR             TYCARTNA
  RAFFAELLO           ODNOWA          KOŁACZ             SUFLER

      Biały           Naprawa           Praca              Teatr
     Migdał          Odpoczynek       Pieczywo            Pamięć
 Ferrerro Roche      Biologiczna        Chleb            Cugowski
      Rafał          Regeneracja        Okrąg           Podpowiedź
     Kokos               Spa         Przysłowie           Budka


      ćilaP            ćawysipO       eicyrkoP            żórdoP
     łóipoP             ćazsuR         eicibO           akwótrepoK
      peiK            ćawyzaksW        elbeM             ęimaR aN
   kełapodeiN            ecęR          arókS              yteiboK
    soreipaP          ćawyzakoP      dóhcomaS             rugnaK

AKZCINLEIPOP        ĆAWOLUKYTSEG    AKRECIPAT             ABROT


MICHAEL PHELPS          RYBA           GŁÓD              UWAGA

    Pływanie           Skrzela         Afryka           Ostrzeżenie
     Basen              Karp         Pragnienie        Spostrzeżenie
    Jackson            Zwierzę        Jedzenie       Niebezpieczeństwo
      Woda              Woda           Bieda              Program
Mistrz Olimpijski       Łuski          Danio            Dzienniczek


  emad-ertoN           eineżarW      aksrasuH              apuZ
     puksiB               razC         akiP               kerógO
   ainytąiwŚ           ytsibosO       aktibdO            owyzraW
     łóicśoK            awtąlK       awosapaZ            reicezrP
    akilyzaB             aigaM         ńorB                 arG

   ARDETAK              KORU           AIPOK            RODIMOP


    CELNIK             WĘDKA       ROCKEFELLER         PSYCHIATRA

    Granica              Żyłka     Anja Orthodox          Głowa
    Bramka               Ryby        Ameryka              Lekarz
    Lotnisko            Haczyk        Bogaty          Zygmunt Freud
    Strażnik           Przynęta      Pieniądze           Wariat
    Kontrola          Kołowrotek       Zespół            Kozetka


      rbuŻ            ćagąicyzrP         teZ               aflA
     akdóW            ćawyrdoP          retE          akcerG aretiL
anconłóP akyremA        ćibaW          akyzuM        awotąK ćśokdęrP
     airerP             asukoP         anetnA             ceinoK
    njabmoK            akdnaR          atesaK            kerageZ

    NOZIB             ĆIZDOWU          OIDAR             AGEMO


   PAMPERS            REZERWA       TRIATHLON             ZASPA

     Rzepy             Na Boku         Bieg                Zima
     Tetra            Ćwiczenia        Trzy                Wiatr
     Bobas              Zapas         Rower               Zawieje
   Pielucha            Żołnierz      Pływanie          Nieprzejezdny
   Przewijać           Wojsko        Kolarstwo             Śnieg


 asellihcA atęiP       einezdeJ       tnemukoD           ytsanyzrT
  tknuP yłuzC          ćawotoG         fargotuA          adnemoK
      aloW              nagaS       ynzcęronsałW        tairasimoK
    comeiN            akwyrkyzrP   oksiwzaN I ęimI          ćatS
      ynliS              apuZ           akfaraP           ajciloP

   ĆŚOBAŁS             KENRAG         SIPDOP          KENURETSOP
    RULETKA          STATOIL        NEVADA             KOSCIÓŁ

       Koło           Benzyna         Kasyno           Niedziela
      Kasyno          Zegarek          Stan            Dzwony
    Losowanie          Babcia        Ameryka            Ksiądz
     Rosyjska          Stacja       Las Vegas            Msza
       Kulka         Tankować          Usa             Katedra


 yntikęłB lawtełP     atenalP      ynladiobraP           altuB
    annatnoF           ecńołS        ćawotoG             tpigE
   yzskęiwjaN         somsoK        ycyzcńihC            adoW
      ńelaW          ynjoW góB         eloP             ywtełP
     tolazsaK          notaB          onraiZ            aksaM

   BYROLEIW            SRAM           ŻYR            EINWOKRUN


     TOTEM            ŚCIĄGA          SEN               MUSLI

     Indianie          Matura         Noc               Błonnik
      Kołek          Sprawdziań     Pidżama              Płatki
     Przodek           Zrzynać       Łóżko               Dieta
      Religia          Pomoc       Odpoczynek            Mleko
       Słup           Podglądać       Spać             Śniadanie


      ailbiB            arG         ejcanimilE          ćśotraW
        teS             naP           akluK              atowK
       tarB            kanZ            ottoL           anzcilateD
      ćibaZ            ytraK          nopuK            ezdąineiP
      niaK             araP          keremuN            ćawopuK

      LEBA             TNEK       EINAWOSOL              ANEC


   RODZYNKI          ŻAŁOBNY        WIESZAK         MANDARYNKA

   Winogrono           Orszak        Ubranie            Skórka
     Ciasto           Pogrzeb     Przymierzalnia      Pomarańcz
     Bakalie            Strój         Sklep          Klementynka
     Suszyć            Marsz          Szafa              Sok
  Pomarszczone       Pośmiertny     Garderoba       Owoc Cytrusowy


  leiciwatsdezrP       merK         einalapO           yworkuC
   kincomonłeP       aciworuS        ecńołS              teltoK
       akłópS        kytemsoK         ażalP            owyzraW
        srK            zrawT        muitsoK            ynowrezC
       dązraZ         ajcaruK        leipąK             ałkiwĆ

  TNERUKORP           MURES          INIKIB           IKZCARUB


TRZĘSIENIE ZIEMI     IRONMAN       MILENIUM             CIĄŻA

 Płyty Tektoniczne     Komiks         Wiek                Brzuch
   Skala Richtera     Pływanie      Windows        Stan Błogosławiony
     Kataklizm         Hawaje      Tysiąclecie          9 Miesięcy
        Haiti         Triathlon       Czas               Dziecko
      Tsunami          Maiden         Bank            Brzemienność


       ontęT            anaR       ajckesnyzeD        naizdwarpS
      raimoP           amarzS        hcułsdoP            aidutS
    einezdązrU       einezrapoP       dawO             einezcilaZ
       ecreS            arókS          zseW              ajseS
       ajyzS            ywzS          tkesnI              tseT

   RTEMOSLUP          ANZILB       AWKSULP           MUIWKOLOK
ULRICH VON JUNGINGEN    BASTYLIA          KWAŚNICA          NETBOOK

       1410              Rewolucja         Kapusta             Mały
    Wielki Mistrz         Francja       Golec Orkiestra       Laptop
       Wojna              Jakobini          Zasada          Komputer
       Zakon              Budynek           Talerz          Przenośny
     Krzyżacy              Burzyć            Zupa             Klikać


  kinzcęisytoimśO         radnatzS            barK           eizęłaG
        aróG              arednaB       endoW ezreiwZ          katP
     ćśokosyW          anowrezC olaiB      ecpyzczS          akzcytW
       tyzczS               ołdoG           ikłókóK            ajaJ
      ejalamiH              agalF          ikreikuC            moD

 TSEREVE TNUOM         WEIGĄROHC           IKZCAR           ODZAING


     BERMUDY               KASA         NADGORLIWY        POMARAŃCZA

     Spodenki             Fiskalna          Chcieć         Mechaniczna
      Wyspy                 Bank           Faszyzm           Skórka
  Ocean Atlantycki         Sklep          Za Bardzo           Owoc
  Wielka Brytania        Rachunek         Zapaleniec          Cytrus
      Trójkąt            Pieniądze          Solidny         Grapefruit


        ńorB            aicśęzczseiN        hculaM           ćalśymZ
       oksjoW             aigolotiM          otuA              zsłaF
        ajsoR           zsuetemipE         kinżagaB           ćiwóM
      tamotuA             ćyzrowtO            siB         ćśotsiwyzcezR
      nibaraK              akzsuP          dóhcomaS          arezczS

  WOKINZSAŁAK           ARODNAP           P621 TAIF         ADWARP


     ZWIERZĘ             MATURA            BABCIA         KOLARZÓWKA

        Las              Już Za Rok         Stary           Kierownica
       Krowa              Kasztan          Dziadek            Rower
        Pies                Stres          Wnuczka              Koła
     Stworzenie            Licuem          Siwizna              Bmx
        Zoo               Egzamin           Mama               Szosa


ynjyziweleT nyzagaM        iknaS            nakluW          ikytokraN
     omsiposazC             ńoK            tyroeteM         ynlowzeB
      maT śoC              geinŚ          eineibęłgaZ        lohoklA
     vT margorP           awabaZ              awaL            kywdO
   otmaiS I otmaT           amiZ             aruizD           ikwyżU

     OWO I OT             GILUK            RETARK         EINEINŻELAZU


 MULTIWITAMINA          KOMPUTER        ODPOWIETRZAĆ      KURCZYĆ SIĘ

 Składniki Mineralne      Monitor          Odkręcać        Zimna Woda
       Owoce                Dysk           Spuszczać        Rozciągać
      Tabletki              Grać            Wentyl            Pranie
      Zdrowie               Atari          Kaloryfer          Kogut
         Sok              Internet           Zawór        Zmniejszać Się


      ajcnarF              asaK              sutkaK        żóN ynadałkS
     ajculoweR             pelkS              ażóR              yłaM
      nibokaJ              ćicałP        ytsazcloK turD         yoriL
      anytoliG           kenuhcaR             ertsO           zrecraH
    nailimyskaM          ćawopuK               żeJ          iksracjawzS

  ERREIPSEBOR           NOGARAP             ECLOK          KYROZYCS
     LOMBARD              SALTO            GUMISIE           TALIZMAN

        Komis             Akrobat           Jagody              Magia
       Zastaw              Sport              Sok             Wisiorek
Małgorzata Ostrowska       Obrót             Bajka             Amulet
      Pieniądze         Gimnastyka          Iktorn            Szczęście
   Szklana Pogoda        Akrobata            Kala              Święcić


     ynowrezC              aktaM           einakzseiM            soN
      ynoleiZ               żąM               jókoP              yzcO
       adoW                ytraŻ           kimedakA           yraliH naP
       roloK               anoŻ             mejanyW           ikwezcoS
       obeiN              anizdoR            tnedutS       ewotkatnoK ałkzS

    IKSEIBEIN           AWOICŚET           AJCNATS            YRALUKO


    ZATRZASK           RĘKODZIEŁO           DZBAN            PAPIEROS

       Guzik            Oryginalność         Leśny               Dym
       Zamek              Biżuteria          Wazon           Uzależnienie
       Winda           Robótki Ręczne        Ucho               Palić
       Drzwi             Hand Made           Napój              Nałóg
      Zapięcie             Sztuka            Wino             Marlboro


     ćawatsoD             iktelbaT            yzcO              iwzrD
       ladeM           ytsyzcorźezrP         ćakałP         einezdreiwtaZ
    eineinżóryW            airetaB          okceizD            zsiwalK
      sruknoK             tkudorP              yzŁ             eicśjyW
        łaniF           einawokapO          ketumS             eicśjeW

    ADORGAN              RETSILB            ASKEB              RETNE


     ZWARTY             SZKLARNIA        TOMB RAIDER          ZAGŁADA

        Mur                Szkło          Angelina Jolie      Holocaust
      Złożony           Temperatura        Grobowiec          Tragedia
       Ścisły              Szyba            Archeolog        Niszczenie
     Pasować               Folia            Lara Croft       Mordowanie
     Skupiony             Ochrona       Gra Komputerowa       Ludzkość


    akzcytemsoK           akzcutzS          ćalezrtS            ecwO
      ćawusU           iksńajorT ńoK         jóbaN              yróG
       notecA              geibyW            aksuŁ             analoP
       reikaL                kirT           telotsiP           sapyW
        yspiT               letroF             leC              acaB

ICKONZAP OD ZCAWYMZ      PĘTSDOP            KSICOP             SAHUJ


     NAPIWEK                ŁOŚ           DOSTĘPNY            MIERNY

    Restauracja           Zwierzę         Dla Każdego           Ocena
     Zostawić              Rogi             Otwarty         Dopuszczający
      Reszta               Klępa            Obecny             Stopień
      Kelner               Jeleń           Osiągalny          Przeciętny
      Drobne                Las             Abonent            Nędzny


        onkO               adoW             ycąjataL           ćizdęwS
      azerpmI              awaK            eciwotaK            iktsorK
     einakzseiM           kartaiW          analecroP          eineluzcU
      imojanZ              zrpeiP           kyzrelaT          enowrezC
   akzdaworpezrP            ćarG           aknażiliF           tsawhC

   AWÓTEPARAP            KENYŁM             KEDOPS          AKWYZRKOP
  ANGINA         WILGOĆ             PUCHAR               SAKIEWKA

   Gardło        Powietrze             Pić                Pieniądze
  Migdałki        Mokro             Nagroda                Torebka
  Gorączka         Pleśń              Lody                 Mieszek
  Infekcja         Woda              Kielich              Woreczek
  Choroba          Susza            Trofeum                Monety


   apmaL          oroblraM          acyzcroG              ezdąineiP
   iceiwŚ           ćilaP           asabłeiK         tyderK ynocałpseiN
    tifuS         anytokiN            kiołS             atsiL anrazC
  rózceiW       ęiS ćagąicaZ         daibO                  sipS
  akwóraŻ           rtliF            nazrhC                zakyW

 LODNARYŻ       YSOREIPAP         ADRATZSUM         WÓGUŁD RTSEJER YWOJARK




  RONDO           JELEŃ              ZEUS                  KATAR

    Koło           Sarna             Piorun                Sienny
   Jechać         Frajer              Bóg                Nieżyt Nosa
 Turbinowe       Dziczyzna           Olimp                Państwo
Skrzyżowanie      Poroże            Mitologia              Alergia
  Kapelusz         Łania             Władza                Kichać


   notalP          amiZ              apotS                 akdałK
  setarkoS     aworugiF adzaJ       einaidnI                adoW
   sisanO           tuB                tuB                  ikseD
   fozoliF          dóL              arókS                 akezR
   ajcerG          azołP           anzyzcżęM               oroizeJ

SELETOTSYRA       YWŻYŁ           YNYSAKOM                TSOMOP


   RAJD          BUNKIER           ŻYCZENIA              SPOWIEDŹ

 Monte Carlo      Schron              Święta            Ksiądz Robak
    Czas        Chować Się         Najlepszego             Kościół
    Trasa          Golf         Kartka Urodzinowa          Pokuta
   Wyścig         Wojna              Składać             Konfesjonał
 Paryż Dakar      Niemcy             Wysyłać               Grzech


ynzciwaksyłB        eratS           nyzagaM                 apaP
  keropzoR        ytomalK           wókainoK                hcaD
    zculK         eiceipuR            awnaK                 moD
    iwzrD          yzcezR            atewreS               dówaZ
   kesaiP       enawyżueiN         ćawyzsyaW               nimoK

   KEMAZ          YTARG         EIKSLOP YTFAH             ZRAKED


  POPIÓŁ          LUFCIK           CHERUBIN          KONGLOMERACJA

    Palić        Powietrze       Arka Przymierza           Różny
  Papieros         Mały               Anioł              Połączenie
  Kremacja       Wietrzyć             Putto               Element
    Ogień         Uchylać           Skrzydła               Zlepek
  Diament          Okno            Walentynki              Miasto


    ynźorG        akneizaŁ            yretiL                 ńoK
     seiP           eicyM          owtsrecraH               pętS
  dówodoR          leipąK             rfyzS                 sułK
  ikceimeiN         adoW          einaiwatsdoP              zcalK
     asaR         cinzsyrP         einawodoK                dóhC

 NAMREBOD         ANNAW         IKULOPYREDAG               POLAG
     STRZELEC                PAPKA              POLSKI           WALENTYNKA

      Pistolet               Mazia               Matura             Święto
       Wolny                Dziecko              Hymn              14 Luty
